held_out_site,n_train_pool,n_held_out,temperature,argmax_accuracy,argmax_macro_f1,argmax_qwk,argmax_undertriage_rate,argmax_severe_undertriage_rate,argmax_overtriage_rate,argmax_recall_esi1,argmax_recall_esi2,argmax_recall_esi3,argmax_recall_esi4,argmax_recall_esi5,safety_accuracy,safety_macro_f1,safety_qwk,safety_undertriage_rate,safety_severe_undertriage_rate,safety_overtriage_rate,safety_recall_esi1,safety_recall_esi2,safety_recall_esi3,safety_recall_esi4,safety_recall_esi5,urgent_roc_auc,urgent_pr_auc,urgent_brier,urgent_ece_10bin
SITE-HEL-01,54234,13766,1.1454049303410336,0.8563126543658288,0.8712208628157997,0.931523631341554,0.07169838733110562,0.0010896411448496296,0.07198895830306552,0.9380378657487092,0.9623539593249676,0.9007790077900779,0.7653287367643438,0.7839793281653746,0.8194827836699113,0.8241365255195371,0.908178401819164,0.02687781490629086,0.0,0.15363940142379776,0.963855421686747,0.9606231068801385,0.9485444854448545,0.7254370844619552,0.47958656330749355,0.999819000542108,0.9993609501338574,0.0038354515867777043,0.0018221496514054599
SITE-HEL-02,54482,13518,1.1238091853409289,0.8586329338659565,0.874722564144777,0.9316158423436536,0.0721260541500222,0.0014055333629235094,0.0692410119840213,0.9297912713472486,0.9728888888888889,0.8975460122699387,0.7751024590163934,0.7770929635336415,0.8259357893179464,0.8297470655321103,0.9105956710409747,0.02936824974108596,0.00014795088030773783,0.1446959609409676,0.952561669829222,0.968,0.9447852760736196,0.7502561475409836,0.48073959938366717,0.9996725533200501,0.9989175621140016,0.003957752930795987,0.001432884979871193
SITE-OUL-01,54548,13452,1.1173136971924307,0.8499107939339875,0.8643543375027944,0.9268245711988752,0.079988105857865,0.001784121320249777,0.07010110020814748,0.9068901303538175,0.9680142159040427,0.8832590190514795,0.7762845849802371,0.7560723514211887,0.8227029438001784,0.8268652742556852,0.9087214517169149,0.03412132024977699,0.0002973535533749628,0.1431757359500446,0.9366852886405959,0.9653487338960463,0.9365626266720714,0.7457180500658761,0.48578811369509045,0.9996425644251808,0.9988525310944921,0.004185416785191219,0.002321003523184327
SITE-TMP-01,54542,13458,1.106594661220262,0.8568137910536484,0.8761789909670867,0.930379026645825,0.07281914103135681,0.001486104919007282,0.0703670679149948,0.9554730983302412,0.96875,0.8936170212765957,0.7677369238736406,0.7843442198030067,0.8244167038192897,0.8306394035240047,0.9095901102279913,0.029499182642294546,0.0001486104919007282,0.1460841135384158,0.9666048237476809,0.9669642857142857,0.9416939443535188,0.7446918694976696,0.4815966822187662,0.999675404550624,0.9989588444810948,0.004099324681795584,0.0013215902904302299
SITE-TUR-01,54194,13806,1.1238132110230188,0.8570911198029842,0.8682999159424025,0.9308034731391042,0.07808199333623063,0.0012313486889758076,0.06482688686078517,0.9009009009009009,0.9649936735554618,0.8978569997997196,0.7571609632446135,0.8110195674562307,0.8221063305809069,0.8233466357782152,0.9077807439896454,0.031652904534260465,7.243227582210633e-05,0.14624076488483267,0.9225225225225225,0.9645719105862506,0.9449228920488684,0.7313054499366286,0.4881565396498455,0.9995580005327489,0.99866802355753,0.004299244480732203,0.0018034672444034873
