metric,mean,std,min,max
argmax_accuracy,0.8561911764705883,0.0021205301044492347,0.8533088235294117,0.8582352941176471
argmax_macro_f1,0.8711538440646409,0.0027546663382138382,0.8674690023953915,0.8738173625892174
argmax_qwk,0.9305742832889408,0.0012231551056048355,0.9287997105626378,0.9320335301251382
argmax_undertriage_rate,0.07451470588235294,0.0002630668208823275,0.07419117647058823,0.07492647058823529
argmax_severe_undertriage_rate,0.0013970588235294116,0.0004679383110793329,0.0007352941176470588,0.001838235294117647
argmax_overtriage_rate,0.06929411764705881,0.0023290375887832712,0.06691176470588235,0.0725
argmax_recall_esi1,0.9236946049453556,0.0032688474031034977,0.9197080291970803,0.927007299270073
argmax_recall_esi2,0.967783457943567,0.007924169236779468,0.9549036777583187,0.9763676148796498
argmax_recall_esi3,0.8949680067476498,0.004334486595136299,0.8911716842961758,0.9013626194834249
argmax_recall_esi4,0.7683342515762809,0.005419732312360515,0.7631578947368421,0.7772100153295861
argmax_recall_esi5,0.7845782499615067,0.007996328242231421,0.7738771295818275,0.7910216718266254
safety_accuracy,0.8240441176470588,0.0029903969717151,0.82125,0.8275
safety_macro_f1,0.828914670694726,0.003634559269596928,0.8238171704220292,0.8335794434116408
safety_qwk,0.9096658933022731,0.0019516833866809586,0.9077245568806402,0.9122183599310945
safety_undertriage_rate,0.030544117647058822,0.00038065232663367094,0.030220588235294117,0.031176470588235295
safety_severe_undertriage_rate,0.00010294117647058824,9.865005783087306e-05,0.0,0.00022058823529411765
safety_overtriage_rate,0.14541176470588235,0.003202794654456623,0.1413235294117647,0.14830882352941177
safety_recall_esi1,0.949618356263094,0.006513602424744815,0.9416058394160584,0.958029197080292
safety_recall_esi2,0.9675205693110096,0.008444763708793716,0.9549036777583187,0.9768052516411379
safety_recall_esi3,0.9420331779302078,0.003408100160558471,0.9385804352247306,0.9458909682668837
safety_recall_esi4,0.7417589469270376,0.007808929626177821,0.7324987225344916,0.7537046499744506
safety_recall_esi5,0.48616864673755816,0.009148691948301573,0.47471620227038186,0.4979360165118679
urgent_roc_auc,0.999686730186722,0.00010505696761769135,0.9995503849552136,0.9998122969501599
urgent_pr_auc,0.9990002374513237,0.0003325009254636435,0.9984856688544412,0.9993432255243342
urgent_brier,0.0039550258037438415,0.0007922729188177759,0.0032018308680638033,0.0052797490313803075
urgent_ece_10bin,0.0018767593026784838,0.0007077115351640948,0.001039375748560149,0.0028059917011911857
